mean_loss,epsilon,learning_rate
1.50228278764,0.999997,0.0001
0.488070334185,0.9999889,0.0001
0.430417867643,0.9999814,0.0001
0.446866048685,0.9999748,0.0001
0.411684994785,0.9999676,0.0001
0.428256306216,0.9999604,0.0001
0.549859716639,0.9999391,0.0001
0.401832299224,0.9999322,0.0001
0.604758084869,0.9999085,0.0001
0.538357168636,0.9999019,0.0001
0.406324599917,0.9998644,0.0001
0.663825047237,0.9998572,0.0001
0.384353555219,0.9998494,0.0001
0.597305100175,0.9998413,0.0001
0.31583915599,0.9998347,0.0001
0.46156587582,0.9998272,0.0001
0.41146023351,0.9998095,0.0001
0.42930605084,0.9998026,0.0001
0.43515415726,0.9997951,0.0001
0.381179388831,0.999787,0.0001
0.306865209014,0.9997798,0.0001
0.336057297551,0.9997726,0.0001
0.530804354307,0.999766,0.0001
0.340226217861,0.9997588,0.0001
0.51060324298,0.9997369,0.0001
0.444528032377,0.9997297,0.0001
0.457281286467,0.9997225,0.0001
0.451896240896,0.999712,0.0001
0.468496648395,0.999682,0.0001
0.381761410867,0.9996754,0.0001
0.355498245314,0.9996673,0.0001
0.514096701481,0.9996595,0.0001
0.674902416716,0.9996517,0.0001
0.68693614391,0.9996439,0.0001
0.423555820869,0.9996352,0.0001
0.348619808656,0.9996277,0.0001
0.424911945085,0.9996199,0.0001
0.556501308143,0.9996127,0.0001
0.430793351197,0.9996055,0.0001
0.392970951431,0.9995977,0.0001
0.518846291195,0.9995818,0.0001
0.520918842327,0.9995725,0.0001
0.711404278725,0.9995659,0.0001
0.17926516055,0.9995581,0.0001
0.363561594168,0.9995515,0.0001
0.625544685033,0.9995443,0.0001
0.438470730413,0.9995335,0.0001
0.448480932889,0.9995269,0.0001
0.551963189488,0.9995176,0.0001
0.425491352979,0.9995092,0.0001
0.402130995125,0.9994999,0.0001
0.602343904726,0.9994927,0.0001
0.345204330149,0.9994852,0.0001
0.408041596359,0.999478,0.0001
0.391203920095,0.9994684,0.0001
0.48671614518,0.9994618,0.0001
0.427686267185,0.9994447,0.0001
0.438953457905,0.9994345,0.0001
0.236077488951,0.999427,0.0001
0.363265332492,0.9994099,0.0001
0.558034815205,0.9994027,0.0001
0.497837550725,0.9993949,0.0001
0.376981764103,0.9993877,0.0001
0.513005138533,0.9993784,0.0001
0.478140724234,0.9993712,0.0001
0.468509033718,0.9993637,0.0001
0.494047451458,0.9993553,0.0001
0.375861391791,0.9993481,0.0001
0.445997008394,0.9993271,0.0001
0.403184472073,0.9993181,0.0001
0.465841134882,0.9993103,0.0001
0.452428398356,0.9993013,0.0001
0.271015524438,0.9992947,0.0001
0.394772481528,0.999286,0.0001
0.434827643571,0.9992794,0.0001
0.587922277886,0.9992722,0.0001
0.748497774293,0.9992638,0.0001
0.33869106188,0.9992545,0.0001
0.413208689978,0.9992473,0.0001
0.627141100388,0.9992365,0.0001
0.383865530336,0.9992293,0.0001
0.3038831888,0.999208,0.0001
0.509800512232,0.9992002,0.0001
0.52843209207,0.9991936,0.0001
0.440295098038,0.9991858,0.0001
0.383036137927,0.9991639,0.0001
0.299216291507,0.9991567,0.0001
0.565736741335,0.999148,0.0001
0.390895277025,0.9991414,0.0001
0.532006071816,0.999118,0.0001
0.534372718427,0.9991024,0.0001
0.362096104047,0.9990949,0.0001
0.512653313902,0.9990874,0.0001
0.523520636011,0.9990781,0.0001
0.436830793153,0.9990706,0.0001
0.421006319857,0.9990625,0.0001
0.39328024231,0.99904,0.0001
0.375509590151,0.9990187,0.0001
0.4134378576,0.9990112,0.0001
0.524197166565,0.9990016,0.0001
0.402525529782,0.998995,0.0001
0.462407258929,0.9989878,0.0001
0.424260762898,0.9989794,0.0001
0.261108408765,0.9989719,0.0001
0.496676390583,0.9989653,0.0001
0.5284609912,0.9989545,0.0001
0.362991763546,0.9989329,0.0001
0.25975533636,0.9989257,0.0001
0.500751440796,0.9989182,0.0001
0.518299107848,0.9989098,0.0001
0.414544330791,0.9989023,0.0001
0.245294133721,0.9988948,0.0001
0.296020773035,0.9988867,0.0001
0.199018537128,0.9988801,0.0001
0.498496677012,0.9988729,0.0001
0.520597206646,0.9988663,0.0001
0.520676012009,0.9988582,0.0001
0.340830753207,0.9988486,0.0001
0.454633958773,0.9988405,0.0001
0.363419958268,0.9988339,0.0001
0.309680664726,0.9988261,0.0001
0.411656844372,0.9988099,0.0001
0.450516872293,0.998803,0.0001
0.337076976699,0.9987724,0.0001
0.559310516458,0.9987655,0.0001
0.491861022987,0.998758,0.0001
0.528197924934,0.998749,0.0001
0.358815254366,0.9987409,0.0001
0.432808880752,0.9987343,0.0001
0.595811460083,0.9987265,0.0001
0.685409771053,0.9987199,0.0001
0.340959951923,0.9986986,0.0001
0.410050492283,0.9986911,0.0001
0.33409651198,0.9986827,0.0001
0.352968507719,0.9986755,0.0001
0.446155001788,0.9986377,0.0001
0.533384849402,0.9986296,0.0001
0.407366038981,0.998623,0.0001
0.405205091796,0.9986155,0.0001
0.382904056843,0.9985948,0.0001
0.365751483043,0.9985873,0.0001
0.329482173636,0.9985528,0.0001
0.247879118006,0.9985435,0.0001
0.394380613346,0.9985369,0.0001
0.455660614866,0.9985276,0.0001
0.487959204498,0.9985201,0.0001
0.321215035933,0.9985105,0.0001
0.311655929957,0.998503,0.0001
0.533911513002,0.9984952,0.0001
0.306416842014,0.9984874,0.0001
0.312288463016,0.9984715,0.0001
0.452121601465,0.9984637,0.0001
0.378857991281,0.9984562,0.0001
0.476309985569,0.9984487,0.0001
0.47116820705,0.9984421,0.0001
0.536679345108,0.998434,0.0001
0.383106692692,0.9984037,0.0001
0.346698426062,0.9983959,0.0001
0.494064339523,0.998386,0.0001
0.487874398668,0.998356,0.0001
0.562669885915,0.9983491,0.0001
0.299664334928,0.9983413,0.0001
0.296084767647,0.9983347,0.0001
0.431354212198,0.9983275,0.0001
0.512747889736,0.99832,0.0001
0.514006693949,0.9983092,0.0001
0.392207596507,0.998302,0.0001
0.524857484144,0.9982942,0.0001
0.568034619086,0.9982735,0.0001
0.526920286387,0.9982654,0.0001
0.270275561713,0.9982564,0.0001
0.439885559976,0.998233,0.0001
0.401104771111,0.9982249,0.0001
0.644962569714,0.9982156,0.0001
0.285963698574,0.9982084,0.0001
0.442738222937,0.9982018,0.0001
0.290867817628,0.998194,0.0001
