mean_loss,epsilon
9.11810567435e-05,0.820005400006
5.67357728345e-05,0.595006300013
3.05232401323e-05,0.370007200013
2.96889116822e-05,0.145008100009
4.98232796725e-05,0.1
2.24336232471e-05,0.1
2.22754924958e-05,0.1
2.04291701054e-05,0.1
8.4549838247e-06,0.1
1.02346093642e-05,0.1
7.05986200989e-06,0.1
2.73620490858e-06,0.1
3.21338069405e-06,0.1
2.22147697342e-06,0.1
3.03363553333e-06,0.1
2.48238250489e-06,0.1
1.36045360996e-06,0.1
1.11443547648e-06,0.1
1.51015948743e-06,0.1
6.97320807662e-07,0.1
5.5534575944e-07,0.1
3.45888682815e-07,0.1
3.51953149242e-07,0.1
2.97513885261e-07,0.1
3.0055910708e-07,0.1
2.57029464932e-07,0.1
2.1482800984e-07,0.1
1.84804858473e-07,0.1
1.59535992944e-07,0.1
1.7287538891e-07,0.1
1.31805804528e-07,0.1
1.15338163026e-07,0.1
1.46361115915e-07,0.1
1.05970880003e-07,0.1
1.08853934071e-07,0.1
1.06707216058e-07,0.1
9.31414465136e-08,0.1
1.00497405123e-07,0.1
9.61693165201e-08,0.1
8.9613837577e-08,0.1
8.5047036027e-08,0.1
8.22302905212e-08,0.1
7.99189721929e-08,0.1
7.36856375688e-08,0.1
7.44186174688e-08,0.1
7.05418414127e-08,0.1
7.07053390792e-08,0.1
6.76702369455e-08,0.1
6.03561866433e-08,0.1
6.42823562647e-08,0.1
5.94807300703e-08,0.1
6.35695989726e-08,0.1
6.82605279046e-08,0.1
6.33245031136e-08,0.1
6.40371453033e-08,0.1
6.05666420674e-08,0.1
6.60864716111e-08,0.1
6.58398856239e-08,0.1
6.65348524821e-08,0.1
6.89820312892e-08,0.1
5.41389737944e-08,0.1
7.03710115503e-08,0.1
6.15980476343e-08,0.1
7.05065640017e-08,0.1
5.93762229269e-08,0.1
6.74648090007e-08,0.1
5.79784356733e-08,0.1
6.61425493292e-08,0.1
7.03113131705e-08,0.1
6.9526549542e-08,0.1
6.45887730205e-08,0.1
6.31332398326e-08,0.1
6.53456077467e-08,0.1
5.67044063802e-08,0.1
6.00414733617e-08,0.1
6.04925473483e-08,0.1
5.35109967414e-08,0.1
5.62973221791e-08,0.1
5.53119357774e-08,0.1
5.42605461717e-08,0.1
6.40821434551e-08,0.1
6.09764035127e-08,0.1
6.14247913879e-08,0.1
6.08641843039e-08,0.1
5.82866335383e-08,0.1
6.6872247801e-08,0.1
5.44612508908e-08,0.1
6.83147966327e-08,0.1
6.46369035041e-08,0.1
6.35288755997e-08,0.1
6.25537467387e-08,0.1
6.61793588894e-08,0.1
6.61067752471e-08,0.1
6.2231839094e-08,0.1
6.61199995458e-08,0.1
5.66274271611e-08,0.1
6.06008577984e-08,0.1
5.53943325702e-08,0.1
6.04460355167e-08,0.1
