epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,1096,38900,35.4927007299,0.378613126595
2,1270,61500,48.4251968504,0.626583294263
3,1581,96000,60.7210626186,0.756208051685
4,2039,150700,73.9087788131,0.870502820164
5,1617,102800,63.5745207174,0.891723331884
6,1826,125500,68.7294633078,0.879702652264
7,2887,248900,86.2140630412,0.89754294103
8,5705,552000,96.7572304996,0.911623192355
9,7351,723100,98.3675690382,0.921712248735
10,9300,922800,99.2258064516,0.937813855186
11,10821,1080700,99.8706219388,0.937363839131
