epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,383,2400,6.26631853786,0.674845358077
2,396,4500,11.3636363636,0.609768010005
3,395,4000,10.1265822785,0.544906053748
4,396,4200,10.6060606061,0.493198605152
5,397,4400,11.0831234257,0.440669298023
6,406,5200,12.8078817734,0.40514915931
7,411,5600,13.6253041363,0.368419291954
8,388,3500,9.0206185567,0.34087157663
9,382,2700,7.06806282723,0.310695451954
10,390,3000,7.69230769231,0.298339008614
11,410,5700,13.9024390244,0.294334723009
12,383,2300,6.00522193211,0.278695493508
13,395,3900,9.87341772152,0.26644005856
14,384,2700,7.03125,0.263069632477
15,408,5600,13.7254901961,0.252999270661
16,388,3200,8.24742268041,0.268190702144
17,397,4500,11.3350125945,0.238700181106
18,380,1800,4.73684210526,0.233714606473
19,389,2800,7.19794344473,0.235524156587
20,384,2400,6.25,0.242706098058
21,409,5600,13.6919315403,0.233028139565
22,402,4800,11.9402985075,0.23697283545
23,396,4200,10.6060606061,0.244826624263
24,389,3200,8.22622107969,0.241243651379
25,399,4600,11.5288220551,0.260455905795
26,404,5400,13.3663366337,0.273912759414
27,391,3800,9.71867007673,0.284629621468
28,399,4600,11.5288220551,0.266897170693
29,395,4200,10.6329113924,0.277305778563
30,396,3900,9.84848484848,0.273240433186
31,398,4400,11.0552763819,0.256371363681
32,397,4100,10.3274559194,0.264472623374
33,397,4100,10.3274559194,0.257784442957
34,404,4800,11.8811881188,0.270457042661
35,386,2700,6.99481865285,0.256301158015
36,385,2400,6.23376623377,0.273601189665
37,382,2800,7.32984293194,0.253813284263
38,400,4300,10.75,0.247760376483
39,386,3400,8.80829015544,0.257909686342
40,392,3600,9.18367346939,0.247837976366
41,385,2200,5.71428571429,0.241410919465
42,393,3400,8.65139949109,0.238268336207
43,391,3600,9.20716112532,0.245041451324
44,381,2000,5.24934383202,0.253046251871
45,389,3100,7.96915167095,0.273896686397
46,390,3400,8.71794871795,0.267574070394
47,387,2600,6.71834625323,0.290134208109
48,403,4600,11.4143920596,0.296343793646
49,398,4000,10.0502512563,0.300474226046
50,390,3400,8.71794871795,0.277772672996
51,382,2200,5.75916230366,0.288346743546
52,404,4600,11.3861386139,0.265023962036
53,391,3000,7.6726342711,0.245297022741
54,385,2600,6.75324675325,0.251891572885
55,394,3600,9.13705583756,0.249904439598
56,399,4200,10.5263157895,0.25117498463
57,385,2600,6.75324675325,0.238631928265
58,385,2800,7.27272727273,0.222456646804
59,395,3600,9.11392405063,0.20291185325
60,397,4100,10.3274559194,0.201222261935
61,390,3300,8.46153846154,0.214736133087
62,394,3600,9.13705583756,0.21256412793
63,392,3300,8.41836734694,0.23309768267
64,394,3600,9.13705583756,0.219862811975
65,376,1600,4.25531914894,0.207053449955
66,398,4200,10.5527638191,0.204559412971
67,388,3000,7.73195876289,0.238636217825
68,385,2800,7.27272727273,0.243576808386
69,391,3200,8.18414322251,0.24002735287
70,402,4500,11.1940298507,0.260605731644
71,386,2600,6.73575129534,0.247143047713
72,399,4400,11.0275689223,0.274423681684
73,386,2500,6.47668393782,0.295259384997
74,391,3100,7.9283887468,0.259298304692
75,390,3400,8.71794871795,0.288943004161
76,373,1300,3.48525469169,0.26408746127
77,395,3800,9.62025316456,0.278345791698
78,395,4000,10.1265822785,0.246529958732
79,395,3600,9.11392405063,0.230288840234
80,391,3600,9.20716112532,0.235385590903
81,407,5200,12.7764127764,0.265735104233
82,392,3600,9.18367346939,0.271113753654
83,387,3100,8.01033591731,0.273272315077
84,402,4300,10.6965174129,0.281501784809
85,399,4400,11.0275689223,0.284448167197
86,385,3000,7.79220779221,0.295925162993
87,401,4600,11.4713216958,0.315186751522
88,398,3900,9.79899497487,0.285412990004
89,388,3000,7.73195876289,0.271110342033
90,400,4200,10.5,0.276241170168
91,403,4800,11.9106699752,0.285619970821
92,392,3200,8.16326530612,0.302653007396
93,412,6200,15.0485436893,0.312172103599
94,398,4500,11.3065326633,0.30321032159
95,390,3900,10.0,0.305856447816
96,428,8200,19.1588785047,0.307913408466
97,433,8400,19.3995381062,0.327516076975
98,410,6200,15.1219512195,0.349270333387
99,424,7200,16.9811320755,0.349632353894
100,399,5100,12.7819548872,0.355669510178
101,448,10000,22.3214285714,0.364835462719
102,439,9900,22.5512528474,0.352257681601
103,453,11500,25.3863134658,0.396379190721
104,483,14900,30.8488612836,0.41428852018
105,468,13500,28.8461538462,0.431512662023
106,507,17300,34.1222879684,0.442639001086
107,498,16500,33.1325301205,0.471006966531
108,494,17100,34.6153846154,0.488777540065
109,489,17400,35.5828220859,0.498891939409
110,594,26900,45.2861952862,0.524231115617
111,483,15900,32.9192546584,0.510872249678
112,626,30800,49.2012779553,0.53712935634
113,659,35800,54.3247344461,0.552913845368
114,670,38400,57.3134328358,0.556785492525
115,769,48700,63.3289986996,0.598094281964
116,806,55300,68.6104218362,0.614541299082
117,811,55200,68.0641183724,0.62750372503
118,950,70000,73.6842105263,0.640251448564
119,825,54800,66.4242424242,0.661849917956
120,1205,98200,81.4937759336,0.685959932879
121,1024,80500,78.61328125,0.702369224317
122,1403,121500,86.6001425517,0.763224788234
123,1711,154800,90.4734073641,0.756579276063
124,2019,186800,92.5210500248,0.782097023148
125,1873,171600,91.6177255739,0.794425851926
126,2609,249800,95.7454963588,0.803512832206
127,2119,198300,93.5818782445,0.802710711062
128,3166,307100,96.9993682881,0.826459788699
129,3632,356900,98.2654185022,0.8373321064
130,3178,307500,96.7589679043,0.814200604521
131,4034,397800,98.6117997025,0.842632070966
132,3996,394700,98.7737737738,0.840103443787
133,4567,453600,99.3212174294,0.843847621381
134,3975,392300,98.6918238994,0.837164497524
135,5042,502100,99.5834986117,0.846244843453
136,5291,528200,99.8298998299,0.841995208859
137,3844,378800,98.5431841831,0.860313517433
138,5038,501600,99.5633187773,0.850530351661
139,4168,411600,98.7523992322,0.859674611669
140,5204,517300,99.4043043812,0.848967393376
141,3663,358400,97.8432978433,0.85496405663
142,5409,540100,99.8520983546,0.852779994551
143,5403,538500,99.666851749,0.859862227961
144,5450,543500,99.7247706422,0.859089262504
145,5667,565900,99.8588318334,0.860312178694
146,5526,551300,99.7647484618,0.858455441259
147,5672,566100,99.8060648801,0.856973593682
148,5772,576400,99.8613998614,0.861411522906
149,5392,538300,99.8330860534,0.858026310746
150,5780,577400,99.8961937716,0.857064569853
151,5654,564500,99.8408206579,0.859930591024
152,6027,602700,100.0,0.859375126325
153,5778,577500,99.94807892,0.859447848964
154,5998,599700,99.9833277759,0.862775829975
155,5793,578700,99.8964267219,0.857480703481
156,5985,598100,99.933166249,0.862971552275
157,5903,590000,99.9491783839,0.862631140985
158,5934,592900,99.9157398045,0.860692736711
159,5800,579500,99.9137931034,0.861228109002
